"Trait","Microbial_Feature","Estimate","CI_Low","CI_High","Std_Error","T_value","P_value","P_adj","R2_Marginal","Heritability_h2","Var_Prop_Cage","Var_Prop_Dam"
"folChol","g_Erysipelatoclostridium",-0.0144280072305681,-0.0402613067519987,0.0114052922908626,0.0131802548578728,-1.09466830392509,0.273661979537678,0.480402164701113,0.244309974695926,0.464575431496464,0.200281024217436,0.011616858286789
"folChol","g_Faecalibaculum",-0.0141964654816467,-0.0315910151803654,0.00319808421707203,0.00887477025444831,-1.59964315408965,0.109677769293472,0.262905345163448,0.247824093774436,0.453787810775387,0.191888752098302,0.00990901179444382
"folChol","g_Escherichia.Shigella",-0.044032250103006,-0.0684928019547113,-0.0195716982513006,0.0124798733937272,-3.5282609617769,0.000418299553770929,0.00355762308251739,0.260672125385766,0.473500039310699,0.1860406706659,0.00500787153363587
"folChol","g_Akkermansia",-0.0147453879801347,-0.0358037357318995,0.00631295977163002,0.0107440549753902,-1.37242298312042,0.169931799417168,0.357751156667722,0.245604021068505,0.459895646503649,0.205400425852566,0.0102778905903384
"liverTC","g_Bifidobacterium",-0.0203777255711604,-0.0367948947955755,-0.00396055634674528,0.00837610674715057,-2.43283976509643,0.0149809288709699,0.0587487406704702,0.34118624806121,0.465830794633142,0.071915474516653,0.206648639312208
"liverTC","g_Coriobacteriaceae.UCG.002",-0.0191426907420344,-0.0320121871262375,-0.00627319435783128,0.00656606958377709,-2.91539565607568,0.0035523787275118,0.0192020471757394,0.342780869194497,0.504851820061025,0.0814519829839211,0.177667940850646
"liverTC","g_Enterorhabdus",0.0450199481496353,0.0204466511708813,0.0695932451283893,0.0125373964177316,3.590853048721,0.000329597439332252,0.00336296137025238,0.348835626685047,0.464272257441333,0.0522330545679027,0.218739019750801
"liverTC","g_Alistipes",0.0358156074229828,0.0196628283300679,0.0519683865158978,0.00824121382291577,4.34591410835536,1.38696838116736e-05,0.00041878646404671,0.353864410132535,0.503204270263877,0.0434312923685,0.195172833423765
"liverTC","g_Staphylococcus",0.0133746088360291,-0.0226327381666932,0.0493819558387513,0.0183710954095521,0.728024570003314,0.466598545981098,0.622131394641464,0.332908595711821,0.476871107618732,0.0781326216921747,0.20165768814888
"liverTC","g_Lactobacillus",-0.00834221496985549,-0.023380845607959,0.00669641566824803,0.00767277073372628,-1.08724934699099,0.276926627634563,0.48161152632098,0.332351447606864,0.495186981369118,0.0807805886093595,0.19106218458055
"liverTC","g_Lactococcus",0.05396737862891,0.029559994996582,0.0783747622612381,0.0124527467511878,4.33377307892032,1.46575262416349e-05,0.00041878646404671,0.358594479150276,0.470673435172051,0.0783123737427432,0.190125204659462
"liverTC","g_Clostridium.sensu.stricto.1",-0.0229734242204905,-0.0355313877033553,-0.0104154607376256,0.00640712422595144,-3.58560617998303,0.000336296137025238,0.00336296137025238,0.342213561579598,0.501116787129743,0.109130498570094,0.185183160515595
"liverTC","g_Clostridium.sensu.stricto.13",-0.0167310123118887,-0.0304642386886297,-0.00299778593514758,0.00700674815139851,-2.38784268399161,0.0169475945353974,0.06276886864962,0.344117052318637,0.456427400974972,0.0583457260895312,0.216583576476406
"liverTC","g_.Eubacterium..brachy.group",0.0252823119651274,-0.00751059658575159,0.0580752205160064,0.0167310757912648,1.51109900406567,0.130763228427669,0.296596237188593,0.334241128168301,0.507513995862542,0.0784728175298919,0.180936160969701
"liverTC","g_.Eubacterium..nodatum.group",-0.0161912116829079,-0.0480466756817725,0.0156642523159566,0.0162527877545227,-0.996211353243222,0.31914746426606,0.518938966286277,0.332603461547292,0.481168265677293,0.0712363261691773,0.206072594801879
"liverTC","g_A2",0.0247959591643111,0.0125544109455702,0.037037507383052,0.00624568786670453,3.97009259724572,7.18447049297133e-05,0.00110530315276482,0.355517672966855,0.449514762222273,0.0604529540525882,0.224192732657292
"liverTC","g_Acetatifactor",0.0218947825102994,0.00513518643819233,0.0386543785824065,0.00855081432250362,2.56054940319284,0.0104506803567743,0.0444257976594343,0.343005945284125,0.443646795308428,0.0588157677064736,0.234711659331235
"liverTC","g_Blautia",0.0147864417497149,0.00183253352779174,0.0277403499716381,0.00660913684791998,2.23727274679877,0.025268519298995,0.0842283976633166,0.341934450037647,0.459045403444107,0.0621863731450449,0.212482980935895
"liverTC","g_GCA.900066575",0.024503573258552,0.00564276044839739,0.0433643860687065,0.00962286367865029,2.54639097848977,0.0108843204265614,0.0444257976594343,0.34477628987212,0.427879430667582,0.0750347846622241,0.227215066443085
"liverTC","g_Lachnoclostridium",0.0354832048452602,0.0158167492529591,0.0551496604375612,0.0100339059144393,3.53633023349341,0.000405727175562642,0.00355762308251739,0.34912725876984,0.407236830028972,0.0661637473672142,0.261215328342794
"liverTC","g_Lachnospiraceae.FCS020.group",0.0150361856182338,-0.0166837801478874,0.0467561513843549,0.016183656003123,0.929096961485846,0.352838839024157,0.551310685975245,0.333238226170629,0.474723991713138,0.0759051413619062,0.205033739971412
"liverTC","g_Lachnospiraceae.NK4A136.group",0.0351357604752508,0.0183405211023158,0.0519309998481857,0.00856899968006885,4.10033396978356,4.12554332340775e-05,0.000843530352412358,0.356005339831516,0.415584235406988,0.0658417095502068,0.243177613172873
