SampleID,ID,Sex,ngen,Cage_ID,Dam_ID,folChol,liverTC,lesionArea,folGLC,folTG,shannon,faith_pd,observed_otus,UWU_PC1,UWU_PC2,UWU_PC3,WU_PC1,WU_PC2,WU_PC3,Bray_PC1,Bray_PC2,Bray_PC3,g_Bifidobacterium,g_Coriobacteriaceae UCG-002,g_Enterorhabdus,g_Alistipes,g_Staphylococcus,g_Lactobacillus,g_Lactococcus,g_Clostridium sensu stricto 1,g_Clostridium sensu stricto 13,g_[Eubacterium] brachy group,g_[Eubacterium] nodatum group,g_A2,g_Acetatifactor,g_Blautia,g_GCA-900066575,g_Lachnoclostridium,g_Lachnospiraceae FCS020 group,g_Lachnospiraceae NK4A136 group,g_Lachnospiraceae UCG-004,g_Lachnospiraceae UCG-006,g_Marvinbryantia,g_Roseburia,g_Tyzzerella,g_Romboutsia,g_Terrisporobacter,g_Anaerotruncus,g_GCA-900066225,g_Intestinimonas,g_Oscillibacter,g_Ruminiclostridium,g_Ruminiclostridium 5,g_Ruminiclostridium 9,g_Ruminococcaceae NK4A214 group,g_Ruminococcaceae UCG-010,g_UBA1819,g_Dubosiella,g_Erysipelatoclostridium,g_Faecalibaculum,g_Escherichia-Shigella,g_Akkermansia
548,548,Male,Wave 1,179162,113,850.2,8.50610171,35926,189,864,3.319649354,5.090305095,60,0.158885673,0.035037642,-0.250124605,-0.021395965,-0.004143826,-0.007897118,-0.346287316,0.147187163,-0.005091103,151,592,7,1,1,311,61,60,17,1,1,170,1,141,27,73,1,69,1,4,40,19,10,1,18,1,1,13,15,9,8,44,1,1,62,1,148,3000,30,1
550,550,Male,Wave 1,179162,113,509.7,7.558158037,29037,192.3,543,2.722464536,3.593777338,39,0.344727447,-0.011341329,-0.040568149,-0.05700972,-0.020010174,-0.029439463,-0.485160457,0.099359545,-0.125976739,211,549,1,1,1,315,13,314,201,1,1,1,1,1,1,1,1,1,1,1,22,1,1,1,207,1,1,6,1,1,1,1,1,1,21,1,153,3447,87,1
556,556,Male,Wave 1,179170,119,456.9,5.330490405,1066,466.2,303,4.034358306,5.366388074,88,-0.135984748,0.138777124,-0.083765117,-0.012835388,0.012333938,0.009177159,-0.11089145,0.226016953,0.101906228,112,4,19,23,1,3,135,1,1,11,1,613,74,491,78,165,1,76,1,21,1,47,39,1,1,1,12,8,87,152,22,96,6,2,1,1,56,2375,1,1
557,557,Male,Wave 1,179170,119,636.9,7.5431468,1667,564.9,453,5.307987509,6.121908782,112,-0.170155222,0.049195635,0.01909944,0.070606485,0.011894146,0.000975453,0.165729596,0.081276541,0.146331657,33,1,52,27,1,12,226,1,1,6,1,568,103,724,71,196,3,303,5,9,1,41,63,1,1,19,9,22,137,140,27,58,6,12,1,1,167,789,5,1
560,560,Female,Wave 1,179174,120,870.9,7.218372424,26768,318,1011,4.664213971,4.899391682,78,-0.06359009,-0.084036026,-0.16561013,-0.025552543,0.015344052,0.011212369,0.012392168,0.141315855,0.231166437,39,172,23,6,1,130,66,1,1,7,1,847,15,764,132,194,8,40,1,61,1,1,50,1,1,1,1,42,134,276,57,133,1,1,61,1,123,1268,1,1
561,561,Female,Wave 1,179174,120,692.1,6.345821911,43812,319.2,633,2.703990185,3.450064446,35,0.387544726,-0.023517512,-0.033416163,-0.030709,-0.029713088,-0.004802998,-0.45148043,0.081671385,-0.082472131,279,774,13,1,1,1,16,234,62,1,1,1,1,1,1,1,1,1,1,1,136,1,4,1,201,1,1,1,1,1,1,17,11,1,89,1,138,3343,84,1
562,562,Male,Wave 1,179175,120,359.1,6.762562454,18929,334.5,267,2.509545259,3.493481705,35,0.193117796,-0.073848519,-0.042400075,-0.043719321,-0.0114551,-0.025607064,-0.476178333,0.05320235,-0.131440843,262,425,1,1,1,92,15,1,136,7,1,1,1,1,9,1,1,1,1,1,1,1,5,1,153,1,1,1,1,1,1,7,1,1,29,1,95,3813,79,474
566,566,Female,Wave 1,179209,121,1785,17.92983136,115863,271.8,951,5.291111508,5.155038066,94,-0.180444366,0.011875996,0.018157801,0.044792611,0.027549057,0.023497825,0.374191479,0.088301402,0.055341973,1,1,57,45,10,9,694,1,1,8,26,870,70,822,90,77,1,139,1,21,1,200,1,1,18,8,1,30,121,162,16,122,7,12,1,1,101,8,1,1
571,571,Female,Wave 1,179157,108,2009.7,11.72707889,97405,366,1368,5.138086281,5.52823247,105,-0.167547384,0.06541474,-0.089125201,-0.016706371,0.014278011,0.01154134,0.030211782,-0.061430647,0.141813146,10,1,10,15,1,1,284,1,1,9,1,123,1,699,192,85,1,71,1,13,188,9,55,640,1,4,1,48,210,336,49,114,1,8,1,1,444,1022,4,1
575,575,Male,Wave 1,179158,108,527.1,13.99253731,50125,297.3,240,4.713287587,3.877673184,65,-0.128879346,-0.062886863,-0.04932325,-0.070344121,0.025618842,-0.009701483,0.113936666,0.101529691,0.21771516,3,1,28,7,1,1,184,1,1,4,1,1490,1,395,332,337,1,55,1,44,1,1,34,1,1,1,1,108,170,117,47,139,1,1,1,1,158,875,1,1
